ID, company_id, sub_cat_id, cat_id, catName, style_id, StyleName, prod_id, kind, color, Description, weight, size, ageName, Qty, Qty_sold, price_MGL, unitprice_Cnd, TransportCostUnit, price_cost, sellsPrice, barCode, withHoldtax, barCodePrint, ognoo, print_bar, workField, ognoo_sold
133,102,,"0305","Cardigan","102-1W-030501","Cardigan-zadgai engertai","102-0119-029-02-4","cashmere","bej","Cardigan",0,"L",,1,1,,196.87,,,299.00,"102-1W-030501-02L","female","sold",,"102030501",,"102-1W-030501-02L","121W03050102L",2023-6-3 0:00:00
134,102,,"0101","Cardigan","102-1W-010102","Cardigan- cNeck","102-0120-002-153-5","cashmere","gray","Cardigan",0,"XL",,1,,,100.42,,,229.99,"102-1W-010102-03XL","female","printed",,"102010102",,"102-1W-010102-03XL","121W0101023XL",
135,102,,"0101","Cardigan","102-1W-010103","Cardigan- vNeck","102-0120-024-1096-0","cashmere","yellow","Cardigan",0,"F",,1,,,140.61,,,269.99,"102-1W-010103-12F","female","printed","309.99","102010103",,"102-1W-010103-12F","121W01010312F",
136,102,,"0101","Cardigan","102-1W-010103","Cardigan- vNeck","102-0120-024-75-0","cashmere","black","Cardigan",0,"F",,1,1,,140.61,,,269.99,"102-1W-010103-01F","female","sold",,"102010103",,"102-1W-010103-01F","121W01010301F",2023-5-25 0:00:00
137,102,,"0101","Cardigan","102-1W-010107","Cardigan-buttons","102-0120-109-3100-3","cashmere","blue-nomin","Cardigan",0,"M",,1,1,,129.76,,,269.99,"102-1W-010107-08M","female","sold",,"102010107",,"102-1W-010107-08M","121W01010708M",2023-7-31 0:00:00
138,102,,"0303","mini Coat","102-1W-030301","buttonless","102-0122-004-1345-4","cashmere","Orange","Cardigan",0,"L",,1,,,341.53,,,751.00,"102-1W-030301-13L","female",,,"102030301",,"102-1W-030301-13L","121W03030113L",
139,102,,"0101","Cardigan","102-1W-010105","Cardigan-vNeck-cable","102-0122-059-151-4","cashmere","green--pistachio","Cardigan",0,"L",,1,,,397.79,,,875.00,"102-1W-010105-14L","female",,,"102010105",,"102-1W-010105-14L","121W01010514L",
140,102,,"0101","Cardigan","102-1W-010104","Cardigan-cNeck-buttons","102-0222-108-1507-3","silk-cashmere","gray","Cardigan",0,"M",,1,,,143.02,,,315.00,"102-1W-010104-03M","female",,,"102010104",,"102-1W-010104-03M","121W01010403M",
141,102,,"0102","C-neck","102-1W-010208","C-neck-longer back","104-0120-020-1096-0","cashmere","yellow","C-neck",0,"F",,1,1,,116.50,,,229.99,"102-1W-010208-12F","female","sold",,"102010208",,"102-1W-010208-12F","121W01020812F",2023-5-6 0:00:00
142,102,,"0102","C-neck","102-1U-010204","C-neck-pink & blue color","104-0120-113-889/3300-5","cashmere","different Colors","C-neck",0,"XL",,1,,,180.79,,,359.99,"102-1U-010204-11XL","unisex",,,"102010204",,"102-1U-010204-11XL","121U0102041XL",
143,102,,,"C-neck","102-1U-010210","C-neck-colored stripe sleeve","104-0120-135-6850/4800/100-4","cashmere","brown","C-neck",0,"L",,1,,,116.49,,,229.99,"102-1U-010210-05L","unisex","hos omd",,"102010210",,"102-1U-010210-05L","121U01021005L",
144,102,,"0102","C-neck","102-1U-010207","C-neck-cable in shoulder","104-0121-001-74-3","cashmere","gray","C-neck",0,"M",,1,,,108.46,,,239.00,"102-1U-010207-03M","unisex",,,"102010207",,"102-1U-010207-03M","121U01020703M",
145,102,,"0102","C-neck","102-1U-010205","C-neck-simple","104-0121-221-148-4","cashmere","gray","C-neck",0,"L",,1,1,,83.95,,,229.99,"102-1U-010205-03L","unisex","sold",,"102010205",,"102-1U-010205-03L","121U01020503L",2023-9-27 0:00:00
146,102,,"0102","C-neck","102-1U-010205","C-neck-simple","104-0122-001-148-2","cashmere","gray","C-neck",0,"S",,2,,,100.42,,,229.99,"102-1U-010205-03S","unisex",,,"102010205",,"102-1U-010205-03S","121U01020503S",
