company_id,cat_id,catName,style_id,StyleName,prod_id,kind,color,Description,weight,size,Qty,Qty_sold,price_MGL,unitprice_Cnd,TransportCostUnit,sellsPrice,barCode,sex,sellDesc,barCodePrint,print_bar,workField,extra
102,0102,C-neck,102-1U-010205,C-neck-simple,104-0122-001-148-2,cashmere,gray,C-neck,0,S,2,,,100.42,,229.99,102-1U-010205-03S,unisex,,102010205,102-1U-010205-03S,121U01020503S,
102,0102,C-neck,102-1U-010207,C-neck-cable in shoulder,104-1120-130-74-3,cashmere,gray,C-neck,0,M,1,1,,144.22,,317,102-1U-010207-03M,unisex,sold,102010207,102-1U-010207-03M,121U01020703M,
102,0102,C-neck,102-1U-010205,C-neck-simple,104-1121-222-3975-4,cashmere,gray,C-neck,0,L,1,1,,109.66,,229.99,102-1U-010205-03L,unisex,sold,102010205,102-1U-010205-03L,121U01020503L,
102,0102,C-neck,102-1U-010205,C-neck-simple,104-1121-222-3975-4,Cashmere,gray,C-neck,0,M,1,1,,109.66,,200,102-1U-010205-03M,unisex,sold Auna,102010205,102-1U-010205-03M,121U01020503M,
102,0102,C-neck,102-1U-010206,C-neck-camouflage,104-1122-060-3950/3975/3700-3,cashmere,different Colors,C-neck,0,M,1,,,200.88,,349.99,102-1U-010206-11M,unisex,,102010206,102-1U-010206-11M,121U01020611M,
102,0102,C-neck,102-1U-010206,C-neck-camouflage,104-1122-060-3950/3975/3700-4,cashmere,different Colors,C-neck,0,L,1,,,200.88,,349.99,102-1U-010206-11L,unisex,,102010206,102-1U-010206-11L,121U01020611L,
102,0103,T-neck,102-1U-010304,T-neck-different color,105-0119-045-520/522/1402-4,cashmere,different Colors,T-neck,0,L,1,,,196.86,,433,102-1U-010304-11L,unisex,,102010304,102-1U-010304-11L,121U01030411L,
102,0103,T-neck,102-1W-010307,T-neck-sleeve pattern,105-0121-001-02/1096/6900-4,cashmere,bej,T-neck,0,L,1,,,124.13,,273,102-1W-010307-02L,female,hos omdtoi,102010307,102-1W-010307-02L,121W01030702L,
102,0102,C-neck,102-3U-010209,C-neck-cable,105-0122-017-755/81-3,yak,brown,T-neck,0,S,1,,,237.05,,522,102-3U-010209-05S,unisex,sarlag une todruul,102010209,102-3U-010209-05S,123U01020905S,
102,0103,T-neck,102-1U-010305,T-neck-silk,105-0221-021-3170-3,Silk-cashmere,green,T-neck,0,M,1,,,379.3,,429.99,102-1U-010305-09M,unisex,printed,102010305,102-1U-010305-09M,121U01030509M,
102,0103,T-neck,102-1W-010303,T-neck-silk-sleeveless,105-0222-039-1507-2,cashmere,gray,T-neck,0,S,1,,,116.49,,256,102-1W-010303-03S,female,,102010303,102-1W-010303-03S,121W01030303S,
102,0106,Hi-neck,102-1W-010602,Hi-neck-2 different sided with buttons,106-0121-027-5025-2,cashmere,pink,Hi-neck,0,S,1,,,220.97,,359.99,102-1W-010602-15S,female,printed,102010602,102-1W-010602-15S,121W01060215S,
102,0106,Hi-neck,102-1W-010602,Hi-neck-2 different sided with buttons,106-0121-027-755-2,cashmere,white,Hi-neck,0,S,1,,,220.97,,359.99,102-1W-010602-06S,female,printed,102010602,102-1W-010602-06S,121W01060206S,
102,0106,Hi-neck,102-1U-010601,Hi-neck-blue&black,106-0122-012-3975/2500/755-4,cashmere,different Colors,Hi-neck,0,L,1,,,180.79,,359.99,102-1U-010601-11L,unisex,printed,102010601,102-1U-010601-11L,121U01060111L,
102,,,,,106-0322-037-7000-2,,,Hi-neck,0,,1,,,140.61,,155,,,,,,12,
102,0107,V-neck,102-1W-010703,V-neck side split,107-0120-023-81-4,cashmere,black,V-neck,0,L,1,1,,100.82,,229.99,102-1W-010703-01L,female,sold,102010703,102-1W-010703-01L,121W01070301L,
102,0107,V-neck,102-1U-010701,V-neck-simple,107-0121-045-74-4,cashmere,gray,V-neck,0,L,1,,,83.95,,229.99,102-1U-010701-03L,unisex,,102010701,102-1U-010701-03L,121U01070103L,
102,0107,V-neck,102-1U-010701,V-neck-simple,107-0121-045-74-6,cashmere,gray,V-neck,0,XXL,1,,,83.95,,229.99,102-1U-010701-03XXL,unisex,printed,102010701,102-1U-010701-03XXL,121U010701XXL,
102,0107,V-neck,102-1W-010702,V-neck-emjeertei/hos,107-0122-004-81/3100-3,cashmere,black,V-neck,0,M,1,,,200.88,,359.99,102-1W-010702-01M,female,,102010702,102-1W-010702-01M,121W01070201M,
102,0302,dress,102-1W-030211,dress-hi Neck-2 color sleeves,108-0119-001-02/755-6,cashmere,bej-brown,Dress,0,XXL,1,,,180.79,,369.99,102-1W-030211-07XXL,female,printed,102030211,102-1W-030211-07XXL,121W030211XXL,
102,0302,dress,102-1W-030215,dress-C-Neck,108-0119-041-02-3,cashmere,bej,Dress,0,M,1,,,220.97,,459.99,102-1W-030215-02M,female,,102030215,102-1W-030215-02M,121W03021502M,
102,0302,dress,102-1W-030218,dress Cneck with hidden pocket,108-0120-079-81-4,cashmere,black,Dress,0,L,1,,,126.54,,369.99,102-1W-030218-01L,female,printed,102030218,102-1W-030218-01L,121W03021801L,
102,0302,dress,102-1W-030214,dress-hoodie,108-0120-108-02-4,cashmere,bej,Dress,0,L,2,,,248.3,,459.99,102-1W-030214-02L,female,689,102030214,102-1W-030214-02L,121W03021402L,
102,0302,dress,102-1W-030204,dress-strip,108-0122-003-5100-4,cashmere,pink,Dress,0,L,1,,,156.68,,349.99,102-1W-030204-15L,female,printed,102030204,102-1W-030204-15L,121W03020415L,
102,0302,dress,102-1W-030204,dress-strip,108-0122-003-520-4,cashmere,blue,Dress,0,L,1,,,156.68,,349.99,102-1W-030204-04L,female,printed,102030204,102-1W-030204-04L,121W03020404L,
102,0302,dress,102-1W-030207,dress- T-neck,108-0122-035-755/1345-4,cashmere,white,Dress,0,L,1,1,,237.05,,459.99,102-1W-030207-06L,female,sold,102030207,102-1W-030207-06L,121W03020706L,
102,0302,dress,102-1W-030203,dress-pattern sleeve-cable,108-0122-046-1201/755/1331-3,cashmere,green,Dress,0,M,1,,,261.16,,459.99,102-1W-030203-09M,female,printed,102030203,102-1W-030203-09M,121W03020309M,
102,0302,dress,102-1W-030206,dress-cable,108-0122-059-1402-2,cashmere,blue,Dress,0,S,1,,,341.53,,459.99,102-1W-030206-04S,female,printed,102030206,102-1W-030206-04S,121W03020604S,
102,0302,dress,102-3W-030210,dress- hajuu zadgai,108-0322-064-9000-4,yak,brown,Dress,0,L,1,,,156.68,,349.99,102-3W-030210-05L,female,$490  web,102030210,102-3W-030210-05L,123W03021005L,
102,0401,Hat,102-1W-040105,Hat-bennie-emjeertei,110-0119-019-57/02-0,cashmere,bej-brown,Hat,0,F,2,1,,18.44,,76.99,102-1W-040105-07F,female,1bn+1 sold Mario mom Auna,102040105,102-1W-040105-07F,121W04010507F,
102,0401,Hat,102-1W-040102,Hat-Beret cable,110-0120-046-1402-0,cashmere,blue,Hat,0,F,1,1,,24.07,,87,102-1W-040102-04F,female,sold,102040102,102-1W-040102-04F,121W04010204F,
102,0401,Hat,102-1W-040101,Hat- cable binne,110-0121-005-230/813-0,cashmere,Red,Hat,0,F,4,,,24.87,,99.99,102-1W-040101-19F,female,4 bn,102040101,102-1W-040101-19F,121W04010119F,
102,0401,Hat,102-1W-040101,Hat- cable binne,110-0121-005-57-0,cashmere,bej,Hat,0,F,4,,,24.87,,99.99,102-1W-040101-02F,female,4 bn,102040101,102-1W-040101-02F,121W04010102F,
102,0401,Hat,102-1W-040115,Hat-urt chick,110-0122-034-57-0,cashmere,bej,Hat,0,F,1,,,53,,159.99,102-1W-040115-02F,female,1,102040115,102-1W-040115-02F,121W04011502F,
102,0401,Hat,102-1W-040113,Hat-zagvar-hormootoi,110-0122-035-79-0,cashmere,blue-dark,Hat,0,F,2,,,30.9,,129.99,102-1W-040113-16F,female,2 bn,102040113,102-1W-040113-16F,121W04011316F,
102,0401,Hat,102-1W-040113,Hat-zagvar-hormootoi,110-0122-035-81-0,cashmere,black,Hat,0,F,2,,,30.9,,129.99,102-1W-040113-01F,female,1bn+1,102040113,102-1W-040113-01F,121W04011301F,
102,0401,Hat,102-1W-040109,Hat-bennie-uzuurtee saatai,110-0122-040-1392-0,cashmere,blue,Hat,0,F,3,,,23.67,,99.99,102-1W-040109-04F,female,1 burtgev+1+1,102040109,102-1W-040109-04F,121W04010904F,
102,0401,Hat,102-1U-040106,Hat-bennie-2 sided written cashmere,110-1121-049-3900/4800-0,cashmere,yellow,Hat,0,F,2,,,18.85,,76.79,102-1U-040106-12F,unisex,hos 1 burtgev+ 1 hos,102040106,102-1U-040106-12F,121U04010612F,
102,0101,Cardigan,102-1U-010106,Cardigan with hoodie,112-1121-017-1402-4,cashmere,blue-nomin,Cardigan with hood,0,L,1,,,193.65,,426,102-1U-010106-08L,unisex,hos omd,102010106,102-1U-010106-08L,121U01010608L,
102,0301,Coat,102-1W-030104,Coat with zip,113-0119-032-75-5,cashmere,black,Coat,0,XL,1,,,502.27,,1099.99,102-1W-030104-01XL,female,,102030104,102-1W-030104-01XL,121W0301041XL,
102,0301,Coat,102-1W-030101,Coat-reglan shoulder cable,113-0120-005-1776-0,cashmere,gray,Coat,0,M,1,,,381.71,,840,102-1W-030101-03M,female,,102030101,102-1W-030101-03M,121W03010103M,
102,0301,Coat,102-1W-030102,Coat pattern with belt,113-0121-001-1402/01-3,cashmere,different Colors,Coat,0,M,1,,,284.07,,625,102-1W-030102-11M,female,,102030102,102-1W-030102-11M,121W03010211M,
102,0304,Jacket,102-1W-030402,Jacket-melange sarsgar uzuurtei,114-0121-039-81/3100-2,cashmere,blue-nomin,Jacket,0,S,1,,,502.27,,1105,102-1W-030402-08S,female,with pocket,102030402,102-1W-030402-08S,121W03040208S,
102,0304,Jacket,102-3U-030401,Jacket-melange-2 color sided hem/zah/,114-1322-043-7000/9001/3400-3,yak,brown,Jacket,0,M,1,,,305.36,,672,102-3U-030401-05M,unisex,,102030401,102-3U-030401-05M,123U03040105M,
102,0201,pants,102-1U-020111,pants-sweat,115-0119-009-81-4,cashmere,black,Pants,0,L,1,,,156.68,,344.99,102-1U-020111-01L,unisex,,102020111,102-1U-020111-01L,121U02011101L,
102,0201,pants,102-1U-020111,pants-sweat,115-0119-014-81-3,cashmere,black,Pants,0,M,1,,,140.61,,308.99,102-1U-020111-01M,unisex,,102020111,102-1U-020111-01M,121U02011101M,
102,0201,pants,103-2W-020104,tripezoid,115-0119-046-522-4,wool,blue,Pants,0,L,1,,,141.01,,309.99,103-2W-020104-04L,female,,102020104,103-2W-020104-04L,122W02010404L,
102,0201,pants,103-2W-020105,straight,115-0119-046-74-4,wool,gray,Pants,0,L,1,,,141.01,,309.99,103-2W-020105-03L,female,,102020105,103-2W-020105-03L,122W02010503L,
102,0201,pants,102-1W-020115,pants-straight,115-0119-046-79-4,cashmere,blue-dark,Pants,0,L,1,,,141.01,,309.99,102-1W-020115-16L,female,,102020115,102-1W-020115-16L,121W02011516L,
102,0201,pants,102-1U-020110,pants-cable in knee,115-0121-002-74-3,cashmere,gray,Pants,0,M,1,1,,128.55,,282.99,102-1U-020110-03M,unisex,sold,102020110,102-1U-020110-03M,121U02011003M,
102,0201,pants,102-1W-020107,pants-pattern in Side,115-0121-003-02/1096/6900-4,cashmere,bej,Pants,0,L,1,,,112.48,,247,102-1W-020107-02L,female,,102020107,102-1W-020107-02L,121W02010702L,
102,0203,shorts,102-1W-020301,shorts-woman,115-0121-163-2250-3,cashmere,blue,Pants,0,M,1,,,76.31,,167.99,102-1W-020301-04M,female,,102020301,102-1W-020301-04M,121W02030104M,
102,0201,pants,102-1W-020108,pants- pattern belt/hos,115-0122-004-81/3100-3,cashmere,black,Pants,0,M,1,,,180.79,,398,102-1W-020108-01M,female,,102020108,102-1W-020108-01M,121W02010801M,
102,0201,pants,102-1W-020114,pants-legging with morlon,115-0219-015-1511-4,cashmere,black,Pants,0,L,1,,,156.68,,344.99,102-1W-020114-01L,female,,102020114,102-1W-020114-01L,121W02011401L,
102,0201,pants,102-3W-020112,pants-tripizoid,115-0319-002-7000-2,yak,brown,Pants,0,S,1,,,116.49,,255.99,102-3W-020112-05S,female,,102020112,102-3W-020112-05S,123W02011205S,
102,0201,pants,102-3W-020116,pants-legging side cable,115-0319-003-9000-4,yak,brown,Pants,0,L,1,,,76.31,,167.99,102-3W-020116-05L,female,,102020116,102-3W-020116-05L,123W02011605L,
102,0201,pants,102-1U-020109,pants-track,115-1119-045-6850/4800/100-4,cashmere,brown,Pants,0,L,1,,,160.7,,354,102-1U-020109-05L,unisex,hos,102020109,102-1U-020109-05L,121U02010905L,
102,0201,pants,102-1U-020110,pants-cable in knee,115-1120-091-1300-3,cashmere,gray,Pants,0,M,1,1,,153.46,,338,102-1U-020110-03M,unisex,sold,102020110,102-1U-020110-03M,121U02011003M,
102,0201,pants,102-1U-020111,pants-sweat,115-1121-045-1402-4,cashmere,blue-nomin,Pants,0,L,1,,,125.74,,277,102-1U-020111-08L,unisex,,102020111,102-1U-020111-08L,121U02011108L,
102,0202,skirts,102-1W-020202,skirts-straight,116-0119-002-148-5,cashmere,gray,Skirt,0,XL,1,1,,116.49,,256,102-1W-020202-03XL,female,sold,102020202,102-1W-020202-03XL,121W0202023XL,
102,0202,skirts,102-1W-020202,skirts-straight,116-0119-002-79-3,cashmere,blue-dark,Skirt,0,M,1,,,116.5,,256,102-1W-020202-16M,female,,102020202,102-1W-020202-16M,121W02020216M,
