company_id,cat_id,catName,kind,color,StyleName,Description,weight,size,sex,price_MGL,unitprice_Cnd,sellsPrice,Qty
103,0201,pants,wool,black,tights with elastic,woman legging,255,M,female,89000,34.5,$70.00,3
103,0201,pants,wool,bej-brown,tights/legging,,262,M,female,89000,34.5,$130.00,2
103,0201,pants,wool,brown,tights/cable,woman pants /cable/,453,M,female,149000,57.75,$130.00,1
103,0201,pants,wool,black,tripezoid,woman pants,280,M,female,110000,42.64,$130.00,1
103,0201,pants,wool,gray,tripezoid,,262,M,female,110000,42.64,$70.00,1
103,0201,pants,wool,brown,tripezoid,,260,M,female,110000,42.64,$130.00,1
103,0201,pants,wool,gray,long johns,man Long johns,218,L,male,89000,34.5,$130.00,1
103,0201,pants,wool,bej-brown,long johns,,218,M,male,89000,34.5,$130.00,1
103,0101,Cardigan,wool,gray,6 buttons,Man Cardigan,470,L,male,149000,57.75,$167.00,1
103,0101,Cardigan,wool,bej-brown,6 buttons,,385,L,male,149000,57.75,$167.00,1
103,0403,Foot,wool,white,knee warmer,Ankle warmer,128,F,female,20000,7.75,$20.00,5
103,0302,dress,wool,black,dress with zip,dress,351,M,female,145000,56.2,$167.00,1
103,0201,pants,wool,bej-brown,straight,women set,381,M,female,149000,57.75,$130.00,1
103,0103,T-neck,wool,bej-brown,T-neck with lace/strip,/+/,360,M,female,145000,56.2,$150.00,1
103,0102,C-neck,wool,green,dzemper /Cable/,man dzemper /Cable/,483,M,unisex,140000,54.26,$167.00,2
103,0102,C-neck,wool,gray,dzemper /Cable/,,287,M,unisex,140000,54.26,$167.00,2
103,0102,C-neck,wool,bej,dzemper /Cable/,,415,M,unisex,140000,54.26,$167.00,3
103,0102,C-neck,wool,white,dzemper /Cable/-7 g,man DZEMPER 7gh,391,M,unisex,140000,54.26,$167.00,2
103,0102,C-neck,wool,turquoise,dzemper /Cable/-7 g,,377,M,unisex,140000,54.26,$167.00,2
103,0102,C-neck,wool,blue,dzemper 12g,man DZEMPER -12 gh,444,L,unisex,85000,32.95,$150.00,1
103,0104,Vest,wool,black,vest with onootoi,woman vest,235,L,female,60000,23.26,$130.00,1
103,0103,T-neck,wool,different Colors,blue&black &light blue /alag/,blue&black &light blue,303,M,unisex,120000,46.51,$130.00,1
102,0105,Polo,cashmere,blue,Polo - longor back,Polo,0,M,female,,156.68,$349.99,1
102,0105,Polo,cashmere,blue-nomin,Polo - longor back,Polo,0,M,female,,156.68,$349.99,1
102,0305,Cardigan,cashmere,bej,Cardigan-zadgai engertai,Cardigan,0,L,female,,196.87,$299.00,1
102,0101,Cardigan,cashmere,gray,Cardigan- cNeck,Cardigan,0,XL,female,,100.42,$229.99,1
102,0101,Cardigan,cashmere,yellow,Cardigan- vNeck,Cardigan,0,F,female,,140.61,$269.99,1
102,0101,Cardigan,cashmere,black,Cardigan- vNeck,Cardigan,0,F,female,,140.61,$269.99,1
102,0101,Cardigan,cashmere,blue-nomin,Cardigan-buttons,Cardigan,0,M,female,,129.76,$269.99,1
102,0303,mini Coat,cashmere,Orange,buttonless,Cardigan,0,L,female,,341.53,$751.00,1
102,0101,Cardigan,cashmere,green--pistachio,Cardigan-vNeck-cable,Cardigan,0,L,female,,397.79,$875.00,1
102,0101,Cardigan,silk-cashmere,gray,Cardigan-cNeck-buttons,Cardigan,0,M,female,,143.02,$315.00,1
102,0102,C-neck,cashmere,yellow,C-neck-longer back,C-neck,0,F,female,,116.5,$229.99,1
102,0102,C-neck,cashmere,different Colors,C-neck-pink & blue color,C-neck,0,XL,unisex,,180.79,$359.99,1
102,,C-neck,cashmere,brown,C-neck-colored stripe sleeve,C-neck,0,L,unisex,,116.49,$229.99,1
102,0102,C-neck,cashmere,gray,C-neck-cable in shoulder,C-neck,0,M,unisex,,108.46,$239.00,1
102,0102,C-neck,cashmere,gray,C-neck-simple,C-neck,0,L,unisex,,83.95,$229.99,1
102,0102,C-neck,cashmere,gray,C-neck-simple,C-neck,0,S,unisex,,100.42,$229.99,2
102,0102,C-neck,cashmere,gray,C-neck-cable in shoulder,C-neck,0,M,unisex,,144.22,$317.00,1
102,0102,C-neck,cashmere,gray,C-neck-simple,C-neck,0,L,unisex,,109.66,$229.99,1
102,0102,C-neck,Cashmere,gray,C-neck-simple,C-neck,0,M,unisex,,109.66,$200.00,1
102,0102,C-neck,cashmere,different Colors,C-neck-camouflage,C-neck,0,M,unisex,,200.88,$349.99,1
102,0102,C-neck,cashmere,different Colors,C-neck-camouflage,C-neck,0,L,unisex,,200.88,$349.99,1
102,0103,T-neck,cashmere,different Colors,T-neck-different color,T-neck,0,L,unisex,,196.86,$433.00,1
102,0103,T-neck,cashmere,bej,T-neck-sleeve pattern,T-neck,0,L,female,,124.13,$273.00,1
102,0102,C-neck,yak,brown,C-neck-cable,T-neck,0,S,unisex,,237.05,$522.00,1
102,0103,T-neck,Silk-cashmere,green,T-neck-silk,T-neck,0,M,unisex,,379.3,$429.99,1
102,0103,T-neck,cashmere,gray,T-neck-silk-sleeveless,T-neck,0,S,female,,116.49,$256.00,1
102,0106,Hi-neck,cashmere,pink,Hi-neck-2 different sided with buttons,Hi-neck,0,S,female,,220.97,$359.99,1
102,0106,Hi-neck,cashmere,white,Hi-neck-2 different sided with buttons,Hi-neck,0,S,female,,220.97,$359.99,1
102,0106,Hi-neck,cashmere,different Colors,Hi-neck-blue&black,Hi-neck,0,L,unisex,,180.79,$359.99,1
102,,,,,,Hi-neck,0,,,,140.61,$155.00,1
102,0107,V-neck,cashmere,black,V-neck side split,V-neck,0,L,female,,100.82,$229.99,1
102,0107,V-neck,cashmere,gray,V-neck-simple,V-neck,0,L,unisex,,83.95,$229.99,1
102,0107,V-neck,cashmere,gray,V-neck-simple,V-neck,0,XXL,unisex,,83.95,$229.99,1
102,0107,V-neck,cashmere,black,V-neck-emjeertei/hos,V-neck,0,M,female,,200.88,$359.99,1
102,0302,dress,cashmere,bej-brown,dress-hi Neck-2 color sleeves,Dress,0,XXL,female,,180.79,$369.99,1
102,0302,dress,cashmere,bej,dress-C-Neck,Dress,0,M,female,,220.97,$459.99,1
102,0302,dress,cashmere,black,dress Cneck with hidden pocket,Dress,0,L,female,,126.54,$369.99,1
102,0302,dress,cashmere,bej,dress-hoodie,Dress,0,L,female,,248.3,$459.99,2
102,0302,dress,cashmere,pink,dress-strip,Dress,0,L,female,,156.68,$349.99,1
102,0302,dress,cashmere,blue,dress-strip,Dress,0,L,female,,156.68,$349.99,1
102,0302,dress,cashmere,white,dress- T-neck,Dress,0,L,female,,237.05,$459.99,1
102,0302,dress,cashmere,green,dress-pattern sleeve-cable,Dress,0,M,female,,261.16,$459.99,1
102,0302,dress,cashmere,blue,dress-cable,Dress,0,S,female,,341.53,$459.99,1
102,0302,dress,yak,brown,dress- hajuu zadgai,Dress,0,L,female,,156.68,$349.99,1
102,0401,Hat,cashmere,bej-brown,Hat-bennie-emjeertei,Hat,0,F,female,,18.44,$76.99,2
